,12/5/2020 12:30:17 PM,12/5/2020 12:33:17 PM,12/5/2020 12:36:17 PM,12/5/2020 12:39:17 PM,12/5/2020 12:42:18 PM,12/5/2020 12:45:18 PM,12/5/2020 12:48:18 PM,12/5/2020 12:51:18 PM,12/5/2020 12:54:18 PM,12/5/2020 12:57:19 PM,12/5/2020 1:00:19 PM,12/5/2020 1:03:19 PM,12/5/2020 1:06:19 PM,12/5/2020 1:09:19 PM,12/5/2020 1:12:20 PM,12/5/2020 1:15:20 PM,12/5/2020 1:18:20 PM,12/5/2020 1:21:20 PM,12/5/2020 1:24:20 PM,12/5/2020 1:27:20 PM,12/5/2020 1:30:21 PM,12/5/2020 1:33:21 PM,12/5/2020 1:36:21 PM,12/5/2020 1:39:21 PM,12/5/2020 1:42:22 PM
Distance,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature
"0.015","23.688","24.315","24.489","24.827","25.275","25.281","25.551","25.904","26.259","26.682","26.940","26.981","27.297","27.347","27.442","27.532","27.756","27.811","28.150","28.221","28.239","28.003","28.431","28.673","28.859"
"0.270","23.028","23.428","23.404","23.514","23.850","23.676","23.784","23.991","24.192","24.478","24.612","24.562","24.703","24.658","24.671","24.675","24.796","24.800","25.047","25.066","25.030","24.707","25.055","25.233","25.407"
"0.524","23.220","23.520","23.421","23.439","23.686","23.433","23.437","23.565","23.663","23.905","23.978","23.904","23.949","23.846","23.810","23.783","23.866","23.827","24.014","24.003","23.937","23.604","23.907","24.031","24.141"
"0.778","23.706","23.936","23.818","23.855","24.011","23.814","23.723","23.884","23.941","24.182","24.184","24.135","24.195","24.068","24.010","24.004","24.072","24.002","24.177","24.176","24.051","23.771","24.076","24.159","24.213"
"1.032","23.896","24.074","23.947","24.045","24.125","23.971","23.855","24.050","24.097","24.325","24.289","24.255","24.369","24.234","24.144","24.158","24.241","24.129","24.343","24.320","24.182","23.934","24.242","24.301","24.363"
"1.286","23.769","23.937","23.801","23.911","23.976","23.811","23.737","23.944","23.962","24.194","24.143","24.089","24.232","24.095","23.994","23.995","24.100","23.971","24.214","24.125","24.018","23.772","24.076","24.135","24.189"
"1.541","23.557","23.760","23.625","23.698","23.810","23.640","23.590","23.776","23.800","24.034","23.998","23.926","24.051","23.898","23.838","23.829","23.932","23.810","24.049","23.925","23.870","23.597","23.907","23.986","24.023"
"1.795","23.468","23.708","23.570","23.599","23.759","23.578","23.522","23.688","23.718","23.951","23.968","23.882","23.968","23.803","23.787","23.777","23.853","23.749","23.950","23.848","23.813","23.524","23.828","23.915","23.968"
"2.049","23.492","23.737","23.594","23.619","23.794","23.589","23.551","23.709","23.752","23.947","24.011","23.920","23.973","23.846","23.817","23.786","23.873","23.776","23.967","23.886","23.831","23.532","23.827","23.935","23.985"
"2.303","23.507","23.719","23.605","23.648","23.819","23.582","23.547","23.727","23.789","23.949","24.009","23.930","23.999","23.894","23.823","23.787","23.883","23.786","23.999","23.915","23.851","23.532","23.864","23.959","24.037"
"2.557","23.432","23.609","23.524","23.551","23.722","23.486","23.416","23.621","23.668","23.843","23.848","23.804","23.885","23.768","23.688","23.637","23.738","23.648","23.884","23.786","23.688","23.387","23.734","23.819","23.904"
"2.812","23.289","23.498","23.392","23.419","23.584","23.384","23.321","23.496","23.551","23.750","23.712","23.703","23.760","23.644","23.574","23.512","23.628","23.536","23.779","23.667","23.533","23.277","23.590","23.701","23.807"
"3.066","23.214","23.423","23.315","23.364","23.499","23.319","23.294","23.414","23.509","23.694","23.676","23.655","23.714","23.607","23.538","23.515","23.594","23.496","23.748","23.608","23.481","23.258","23.540","23.653","23.789"
"3.320","23.071","23.240","23.152","23.188","23.301","23.110","23.100","23.218","23.306","23.489","23.520","23.438","23.524","23.419","23.331","23.327","23.380","23.292","23.520","23.366","23.273","23.058","23.349","23.419","23.555"
"3.574","22.800","22.961","22.866","22.902","23.014","22.796","22.796","22.947","22.990","23.214","23.233","23.143","23.241","23.152","23.039","23.034","23.079","22.996","23.181","23.057","22.991","22.735","23.067","23.108","23.198"
"3.828","22.584","22.776","22.647","22.711","22.810","22.586","22.601","22.742","22.768","23.002","23.013","22.948","23.050","22.944","22.835","22.842","22.880","22.784","22.956","22.850","22.814","22.510","22.841","22.898","22.936"
"4.083","22.570","22.787","22.660","22.725","22.801","22.588","22.600","22.729","22.752","22.971","22.982","22.929","23.022","22.906","22.802","22.799","22.837","22.735","22.921","22.819","22.758","22.476","22.778","22.838","22.894"
"4.337","22.562","22.753","22.676","22.748","22.831","22.607","22.634","22.740","22.774","23.004","23.022","22.936","23.040","22.950","22.815","22.812","22.861","22.765","22.944","22.849","22.779","22.489","22.803","22.845","22.968"
"4.591","22.474","22.653","22.557","22.669","22.769","22.517","22.571","22.671","22.704","22.947","22.976","22.855","22.951","22.895","22.772","22.764","22.813","22.727","22.893","22.797","22.748","22.440","22.745","22.800","22.901"
"4.845","22.416","22.602","22.444","22.583","22.679","22.425","22.477","22.590","22.633","22.848","22.859","22.738","22.834","22.746","22.663","22.638","22.693","22.608","22.805","22.668","22.613","22.339","22.630","22.678","22.780"
"5.099","22.471","22.645","22.496","22.610","22.706","22.473","22.501","22.625","22.675","22.883","22.890","22.776","22.892","22.765","22.673","22.641","22.711","22.637","22.873","22.702","22.640","22.403","22.683","22.716","22.857"
"5.354","22.726","22.867","22.800","22.823","22.929","22.719","22.739","22.886","22.916","23.136","23.160","23.057","23.175","23.034","22.932","22.886","22.970","22.894","23.149","22.991","22.944","22.667","22.958","22.986","23.133"
"5.608","22.675","22.809","22.799","22.742","22.871","22.671","22.695","22.871","22.887","23.088","23.101","23.000","23.106","22.996","22.874","22.837","22.908","22.831","23.097","22.951","22.913","22.579","22.925","22.949","23.081"
"5.862","22.031","22.201","22.181","22.132","22.285","22.095","22.101","22.268","22.287","22.474","22.475","22.382","22.459","22.413","22.274","22.261","22.295","22.223","22.440","22.335","22.280","21.950","22.306","22.369","22.447"
"6.116","21.347","21.561","21.464","21.483","21.634","21.446","21.423","21.559","21.581","21.793","21.777","21.699","21.750","21.751","21.616","21.611","21.615","21.557","21.693","21.651","21.576","21.281","21.592","21.721","21.766"
"6.370","21.136","21.328","21.192","21.242","21.374","21.197","21.136","21.278","21.260","21.505","21.488","21.407","21.473","21.442","21.314","21.308","21.313","21.286","21.374","21.346","21.249","20.971","21.265","21.417","21.472"
"6.625","21.158","21.291","21.170","21.249","21.338","21.201","21.137","21.275","21.245","21.510","21.501","21.389","21.481","21.399","21.297","21.299","21.300","21.273","21.391","21.336","21.245","20.973","21.261","21.389","21.487"
"6.879","21.144","21.290","21.150","21.264","21.315","21.191","21.178","21.275","21.321","21.559","21.552","21.402","21.513","21.416","21.339","21.335","21.321","21.291","21.438","21.379","21.319","21.006","21.318","21.405","21.541"
"7.133","21.019","21.158","20.992","21.096","21.166","20.991","21.028","21.130","21.192","21.381","21.377","21.180","21.311","21.241","21.144","21.113","21.112","21.112","21.269","21.171","21.076","20.796","21.093","21.195","21.299"
"7.387","20.809","20.874","20.752","20.841","20.938","20.734","20.779","20.899","20.915","21.104","21.054","20.859","21.006","20.979","20.831","20.785","20.821","20.852","20.997","20.877","20.686","20.469","20.767","20.902","20.972"
"7.641","20.551","20.586","20.459","20.580","20.693","20.496","20.537","20.627","20.635","20.836","20.781","20.620","20.764","20.747","20.561","20.543","20.622","20.629","20.742","20.646","20.477","20.247","20.539","20.701","20.755"
"7.896","20.467","20.550","20.359","20.504","20.600","20.415","20.439","20.508","20.517","20.712","20.711","20.594","20.709","20.668","20.504","20.483","20.536","20.537","20.620","20.542","20.465","20.188","20.482","20.631","20.711"
"8.150","20.536","20.644","20.478","20.637","20.697","20.504","20.516","20.597","20.576","20.766","20.792","20.702","20.791","20.737","20.626","20.554","20.571","20.614","20.668","20.606","20.552","20.266","20.540","20.691","20.815"
"8.404","20.563","20.680","20.569","20.737","20.821","20.592","20.613","20.705","20.687","20.881","20.913","20.820","20.863","20.848","20.773","20.690","20.706","20.764","20.810","20.744","20.684","20.435","20.662","20.834","20.938"
"8.658","20.505","20.617","20.521","20.669","20.791","20.541","20.561","20.638","20.648","20.817","20.861","20.780","20.786","20.792","20.725","20.645","20.696","20.703","20.765","20.680","20.638","20.410","20.623","20.789","20.821"
"8.912","20.473","20.553","20.458","20.569","20.677","20.437","20.441","20.516","20.536","20.680","20.718","20.633","20.648","20.632","20.543","20.466","20.540","20.520","20.604","20.497","20.463","20.228","20.436","20.585","20.623"
"9.167","20.443","20.510","20.412","20.511","20.577","20.386","20.362","20.470","20.482","20.601","20.639","20.544","20.590","20.545","20.434","20.391","20.456","20.455","20.518","20.421","20.384","20.137","20.358","20.485","20.557"
"9.421","20.403","20.493","20.373","20.479","20.544","20.397","20.335","20.462","20.460","20.580","20.635","20.553","20.600","20.551","20.430","20.410","20.482","20.456","20.507","20.471","20.402","20.138","20.401","20.531","20.573"
"9.675","20.431","20.524","20.395","20.489","20.583","20.431","20.367","20.469","20.478","20.593","20.639","20.583","20.601","20.565","20.436","20.402","20.510","20.439","20.484","20.506","20.406","20.125","20.413","20.542","20.582"
"9.929","20.467","20.564","20.446","20.553","20.662","20.490","20.438","20.522","20.537","20.672","20.689","20.637","20.672","20.623","20.509","20.424","20.553","20.494","20.551","20.543","20.444","20.168","20.471","20.604","20.649"
"10.183","20.458","20.555","20.450","20.596","20.706","20.518","20.480","20.564","20.540","20.742","20.745","20.678","20.759","20.685","20.582","20.502","20.590","20.568","20.661","20.608","20.508","20.241","20.570","20.720","20.765"
"10.438","20.452","20.564","20.426","20.586","20.669","20.486","20.452","20.561","20.481","20.731","20.712","20.624","20.702","20.646","20.526","20.488","20.526","20.510","20.619","20.572","20.475","20.203","20.513","20.691","20.732"
"10.692","20.468","20.566","20.425","20.577","20.616","20.453","20.416","20.547","20.485","20.711","20.643","20.581","20.611","20.595","20.440","20.417","20.458","20.402","20.529","20.509","20.419","20.124","20.412","20.585","20.615"
"10.946","20.455","20.571","20.423","20.566","20.621","20.477","20.417","20.534","20.538","20.707","20.633","20.605","20.633","20.630","20.435","20.419","20.485","20.420","20.538","20.534","20.445","20.160","20.427","20.575","20.632"
"11.200","20.452","20.592","20.431","20.567","20.646","20.491","20.415","20.492","20.541","20.695","20.643","20.584","20.658","20.642","20.469","20.414","20.499","20.458","20.532","20.539","20.450","20.162","20.422","20.574","20.650"
"11.454","20.493","20.594","20.452","20.587","20.660","20.466","20.432","20.482","20.542","20.696","20.643","20.557","20.657","20.633","20.494","20.400","20.496","20.468","20.507","20.531","20.424","20.135","20.388","20.560","20.602"
"11.709","20.498","20.587","20.447","20.592","20.684","20.486","20.457","20.555","20.552","20.730","20.695","20.607","20.735","20.660","20.527","20.454","20.567","20.522","20.553","20.616","20.475","20.196","20.491","20.631","20.667"
"11.963","20.513","20.601","20.481","20.608","20.706","20.518","20.476","20.620","20.561","20.755","20.733","20.651","20.763","20.694","20.538","20.504","20.594","20.564","20.588","20.674","20.519","20.241","20.575","20.686","20.721"
"12.217","20.594","20.656","20.564","20.686","20.739","20.554","20.510","20.692","20.603","20.799","20.732","20.635","20.738","20.717","20.530","20.524","20.587","20.562","20.598","20.664","20.469","20.237","20.564","20.671","20.725"
"12.471","20.633","20.657","20.566","20.734","20.764","20.565","20.557","20.730","20.639","20.852","20.759","20.638","20.770","20.745","20.583","20.560","20.619","20.605","20.660","20.700","20.461","20.284","20.607","20.720","20.797"
"12.725","20.563","20.613","20.512","20.679","20.732","20.536","20.523","20.670","20.625","20.815","20.773","20.644","20.785","20.730","20.606","20.557","20.630","20.612","20.656","20.712","20.513","20.332","20.640","20.745","20.823"
"12.980","20.526","20.613","20.488","20.622","20.704","20.516","20.449","20.582","20.569","20.746","20.711","20.615","20.745","20.653","20.537","20.479","20.564","20.526","20.544","20.607","20.507","20.250","20.541","20.650","20.694"
"13.234","20.514","20.610","20.493","20.612","20.704","20.492","20.426","20.552","20.544","20.743","20.634","20.609","20.689","20.605","20.505","20.427","20.504","20.463","20.488","20.517","20.467","20.159","20.410","20.571","20.596"
"13.488","20.470","20.568","20.460","20.605","20.670","20.441","20.433","20.548","20.542","20.754","20.620","20.609","20.698","20.642","20.548","20.456","20.519","20.500","20.530","20.527","20.474","20.180","20.402","20.612","20.635"
"13.742","20.516","20.569","20.470","20.608","20.665","20.450","20.432","20.540","20.566","20.744","20.658","20.589","20.729","20.685","20.577","20.477","20.531","20.506","20.561","20.544","20.486","20.215","20.451","20.645","20.663"
"13.996","20.601","20.637","20.563","20.648","20.737","20.539","20.501","20.595","20.644","20.791","20.732","20.622","20.757","20.733","20.621","20.503","20.576","20.535","20.610","20.592","20.534","20.255","20.514","20.684","20.713"
"14.251","20.602","20.662","20.599","20.681","20.797","20.595","20.605","20.656","20.691","20.894","20.804","20.728","20.838","20.803","20.721","20.609","20.692","20.663","20.726","20.716","20.646","20.368","20.649","20.804","20.800"
"14.505","20.596","20.637","20.580","20.691","20.785","20.587","20.625","20.664","20.654","20.917","20.782","20.757","20.846","20.793","20.744","20.653","20.734","20.705","20.761","20.754","20.673","20.425","20.679","20.829","20.801"
"14.759","20.576","20.600","20.537","20.646","20.705","20.511","20.538","20.610","20.595","20.824","20.682","20.672","20.758","20.681","20.629","20.561","20.622","20.598","20.656","20.638","20.568","20.315","20.569","20.712","20.725"
"15.013","20.480","20.541","20.446","20.538","20.605","20.400","20.419","20.505","20.535","20.724","20.621","20.593","20.714","20.606","20.535","20.464","20.533","20.500","20.584","20.552","20.513","20.234","20.516","20.630","20.715"
"15.267","20.422","20.505","20.367","20.470","20.567","20.371","20.362","20.423","20.491","20.664","20.611","20.554","20.679","20.580","20.508","20.420","20.493","20.450","20.544","20.514","20.497","20.212","20.472","20.602","20.686"
"15.522","20.455","20.513","20.365","20.483","20.579","20.397","20.371","20.445","20.507","20.623","20.596","20.534","20.617","20.571","20.461","20.377","20.446","20.406","20.478","20.437","20.422","20.155","20.382","20.563","20.580"
"15.776","20.471","20.532","20.400","20.510","20.566","20.414","20.395","20.488","20.551","20.636","20.587","20.520","20.598","20.582","20.430","20.373","20.452","20.428","20.469","20.419","20.384","20.156","20.360","20.570","20.517"
"16.030","20.433","20.526","20.424","20.508","20.550","20.417","20.405","20.514","20.560","20.693","20.619","20.549","20.646","20.613","20.476","20.425","20.515","20.490","20.527","20.518","20.463","20.226","20.431","20.641","20.577"
"16.284","20.444","20.556","20.445","20.538","20.590","20.438","20.437","20.565","20.553","20.754","20.639","20.573","20.679","20.634","20.526","20.430","20.534","20.516","20.549","20.564","20.501","20.228","20.484","20.655","20.623"
"16.538","20.493","20.618","20.470","20.591","20.647","20.484","20.483","20.620","20.573","20.802","20.639","20.558","20.683","20.640","20.552","20.435","20.516","20.517","20.568","20.560","20.475","20.196","20.514","20.634","20.600"
"16.793","20.446","20.599","20.445","20.585","20.632","20.468","20.481","20.589","20.564","20.784","20.649","20.553","20.670","20.618","20.553","20.487","20.525","20.514","20.587","20.569","20.473","20.223","20.535","20.649","20.657"
"17.047","20.409","20.579","20.419","20.581","20.610","20.436","20.458","20.517","20.517","20.725","20.642","20.551","20.649","20.574","20.526","20.492","20.542","20.492","20.567","20.545","20.454","20.225","20.503","20.617","20.697"
"17.301","20.484","20.600","20.460","20.611","20.651","20.457","20.467","20.538","20.529","20.713","20.614","20.542","20.642","20.564","20.503","20.449","20.522","20.484","20.553","20.517","20.412","20.190","20.470","20.562","20.631"
"17.555","20.498","20.571","20.487","20.604","20.670","20.484","20.489","20.559","20.557","20.729","20.635","20.552","20.669","20.602","20.502","20.456","20.540","20.518","20.568","20.537","20.427","20.208","20.484","20.589","20.628"
"17.809","20.427","20.508","20.442","20.542","20.627","20.463","20.456","20.522","20.542","20.706","20.634","20.551","20.672","20.597","20.474","20.465","20.546","20.526","20.533","20.567","20.462","20.229","20.497","20.643","20.666"
"18.064","20.388","20.509","20.443","20.518","20.587","20.447","20.417","20.521","20.515","20.689","20.582","20.519","20.664","20.558","20.459","20.433","20.493","20.526","20.506","20.554","20.454","20.197","20.489","20.655","20.701"
"18.318","20.394","20.517","20.482","20.555","20.598","20.461","20.433","20.566","20.526","20.712","20.583","20.551","20.679","20.583","20.541","20.446","20.501","20.585","20.571","20.583","20.511","20.248","20.542","20.695","20.817"
"18.572","20.402","20.506","20.477","20.570","20.612","20.443","20.429","20.570","20.515","20.697","20.590","20.559","20.672","20.610","20.589","20.476","20.510","20.583","20.583","20.604","20.516","20.267","20.551","20.680","20.832"
"18.826","20.454","20.545","20.471","20.591","20.611","20.431","20.416","20.553","20.530","20.676","20.584","20.538","20.679","20.618","20.528","20.476","20.506","20.536","20.516","20.600","20.437","20.218","20.505","20.621","20.748"
"19.080","20.480","20.583","20.451","20.598","20.615","20.453","20.462","20.557","20.559","20.705","20.620","20.570","20.714","20.634","20.497","20.517","20.516","20.556","20.528","20.629","20.428","20.225","20.534","20.634","20.733"
"19.335","20.481","20.565","20.438","20.585","20.613","20.453","20.475","20.537","20.523","20.710","20.638","20.576","20.691","20.622","20.480","20.540","20.501","20.554","20.534","20.597","20.427","20.208","20.539","20.619","20.718"
"19.589","20.463","20.552","20.465","20.569","20.611","20.446","20.435","20.526","20.504","20.706","20.613","20.570","20.625","20.612","20.473","20.510","20.461","20.519","20.504","20.521","20.400","20.162","20.490","20.561","20.690"
"19.843","20.414","20.529","20.463","20.536","20.593","20.454","20.412","20.530","20.512","20.705","20.601","20.583","20.610","20.633","20.514","20.513","20.485","20.546","20.529","20.537","20.464","20.203","20.524","20.581","20.770"
"20.097","20.410","20.512","20.442","20.537","20.578","20.474","20.424","20.524","20.504","20.680","20.618","20.571","20.627","20.621","20.525","20.521","20.532","20.557","20.544","20.561","20.510","20.216","20.548","20.605","20.792"
"20.351","20.450","20.531","20.483","20.574","20.601","20.494","20.444","20.543","20.524","20.675","20.650","20.537","20.644","20.594","20.516","20.504","20.533","20.532","20.550","20.571","20.508","20.192","20.546","20.602","20.748"
"20.606","20.442","20.532","20.521","20.586","20.644","20.492","20.472","20.540","20.557","20.700","20.697","20.542","20.679","20.622","20.545","20.528","20.554","20.564","20.571","20.615","20.519","20.224","20.613","20.657","20.791"
"20.860","20.428","20.540","20.512","20.596","20.641","20.486","20.478","20.520","20.548","20.685","20.688","20.531","20.682","20.629","20.531","20.530","20.555","20.562","20.552","20.611","20.485","20.243","20.610","20.652","20.818"
"21.114","20.446","20.561","20.499","20.605","20.629","20.488","20.479","20.525","20.518","20.691","20.667","20.523","20.684","20.599","20.513","20.513","20.549","20.564","20.527","20.587","20.471","20.233","20.550","20.625","20.771"
"21.368","20.449","20.570","20.507","20.636","20.657","20.519","20.515","20.571","20.538","20.759","20.711","20.565","20.718","20.654","20.572","20.543","20.591","20.621","20.575","20.611","20.562","20.301","20.586","20.664","20.776"
"21.622","20.484","20.607","20.536","20.646","20.694","20.544","20.537","20.642","20.593","20.790","20.746","20.595","20.720","20.713","20.634","20.574","20.608","20.654","20.609","20.612","20.597","20.350","20.624","20.684","20.789"
"21.877","20.531","20.647","20.570","20.623","20.704","20.549","20.552","20.681","20.610","20.769","20.752","20.621","20.718","20.712","20.660","20.574","20.592","20.636","20.619","20.594","20.566","20.333","20.626","20.673","20.746"
"22.131","20.532","20.633","20.570","20.608","20.683","20.541","20.556","20.666","20.603","20.770","20.751","20.674","20.728","20.698","20.671","20.574","20.590","20.641","20.625","20.645","20.604","20.325","20.654","20.701","20.710"
"22.385","20.535","20.623","20.561","20.596","20.666","20.507","20.532","20.612","20.581","20.764","20.721","20.662","20.690","20.664","20.620","20.536","20.570","20.619","20.616","20.660","20.610","20.289","20.638","20.707","20.711"
"22.639","20.558","20.634","20.549","20.600","20.684","20.494","20.517","20.614","20.572","20.763","20.704","20.633","20.684","20.671","20.554","20.529","20.573","20.620","20.621","20.650","20.581","20.282","20.622","20.727","20.777"
"22.893","20.567","20.623","20.532","20.618","20.701","20.520","20.508","20.649","20.592","20.778","20.748","20.669","20.746","20.721","20.586","20.572","20.631","20.672","20.661","20.681","20.617","20.365","20.693","20.793","20.911"
"23.148","20.564","20.590","20.514","20.616","20.685","20.513","20.483","20.642","20.595","20.731","20.738","20.658","20.733","20.686","20.606","20.538","20.612","20.662","20.644","20.665","20.587","20.351","20.690","20.787","20.874"
"23.402","20.527","20.563","20.493","20.594","20.633","20.511","20.479","20.615","20.596","20.699","20.683","20.626","20.685","20.668","20.593","20.491","20.548","20.628","20.600","20.635","20.551","20.276","20.640","20.764","20.776"
"23.656","20.483","20.563","20.468","20.555","20.589","20.478","20.463","20.583","20.569","20.690","20.640","20.631","20.665","20.686","20.565","20.497","20.533","20.621","20.568","20.660","20.561","20.273","20.631","20.729","20.775"
"23.910","20.523","20.603","20.499","20.536","20.600","20.451","20.446","20.583","20.519","20.688","20.627","20.612","20.653","20.678","20.535","20.485","20.546","20.594","20.525","20.644","20.531","20.272","20.594","20.651","20.716"
"24.164","20.571","20.615","20.559","20.537","20.635","20.456","20.436","20.589","20.529","20.687","20.636","20.598","20.662","20.677","20.527","20.469","20.557","20.606","20.512","20.598","20.525","20.254","20.575","20.631","20.676"
"24.419","20.529","20.595","20.547","20.534","20.641","20.491","20.432","20.590","20.544","20.677","20.665","20.630","20.689","20.699","20.538","20.501","20.564","20.650","20.551","20.598","20.589","20.311","20.636","20.715","20.727"
"24.673","20.508","20.587","20.522","20.527","20.594","20.502","20.398","20.581","20.503","20.648","20.647","20.633","20.673","20.658","20.529","20.498","20.553","20.624","20.545","20.578","20.569","20.328","20.636","20.731","20.722"
"24.927","20.516","20.584","20.534","20.512","20.574","20.493","20.361","20.541","20.457","20.624","20.623","20.617","20.629","20.632","20.514","20.472","20.526","20.590","20.519","20.536","20.514","20.275","20.585","20.681","20.699"
"25.181","20.491","20.564","20.522","20.524","20.602","20.471","20.369","20.519","20.470","20.651","20.647","20.627","20.628","20.671","20.549","20.515","20.551","20.641","20.544","20.573","20.526","20.290","20.596","20.673","20.786"
"25.435","20.507","20.581","20.505","20.566","20.624","20.463","20.417","20.527","20.497","20.677","20.641","20.632","20.645","20.691","20.582","20.533","20.579","20.662","20.560","20.602","20.524","20.276","20.616","20.674","20.822"
"25.690","20.535","20.636","20.532","20.593","20.642","20.495","20.466","20.545","20.527","20.690","20.639","20.621","20.649","20.687","20.566","20.506","20.544","20.633","20.550","20.574","20.475","20.232","20.589","20.664","20.772"
"25.944","20.517","20.653","20.528","20.588","20.643","20.507","20.471","20.570","20.536","20.679","20.689","20.624","20.663","20.698","20.570","20.541","20.540","20.661","20.568","20.594","20.487","20.260","20.601","20.708","20.787"
"26.198","20.524","20.640","20.487","20.592","20.632","20.487","20.432","20.575","20.533","20.654","20.698","20.640","20.671","20.707","20.580","20.574","20.554","20.695","20.580","20.628","20.513","20.300","20.629","20.757","20.814"
"26.452","20.578","20.629","20.512","20.629","20.646","20.518","20.439","20.577","20.552","20.643","20.712","20.640","20.710","20.716","20.577","20.601","20.569","20.707","20.559","20.659","20.528","20.320","20.646","20.753","20.830"
"26.706","20.620","20.639","20.609","20.658","20.693","20.558","20.504","20.605","20.596","20.701","20.782","20.661","20.779","20.765","20.635","20.650","20.648","20.726","20.601","20.724","20.626","20.388","20.716","20.793","20.896"
"26.961","20.601","20.648","20.631","20.619","20.687","20.528","20.489","20.595","20.563","20.703","20.757","20.646","20.771","20.760","20.646","20.625","20.657","20.667","20.611","20.708","20.667","20.383","20.731","20.765","20.812"
"27.215","20.524","20.608","20.575","20.553","20.601","20.481","20.410","20.547","20.487","20.645","20.649","20.584","20.673","20.675","20.579","20.508","20.568","20.577","20.536","20.604","20.597","20.295","20.638","20.665","20.670"
"27.469","20.446","20.520","20.516","20.497","20.535","20.451","20.357","20.497","20.445","20.605","20.611","20.561","20.589","20.602","20.528","20.454","20.526","20.568","20.498","20.565","20.555","20.263","20.559","20.623","20.675"
"27.723","20.460","20.500","20.528","20.511","20.548","20.473","20.390","20.497","20.463","20.602","20.621","20.588","20.600","20.611","20.524","20.474","20.523","20.586","20.516","20.569","20.547","20.275","20.546","20.633","20.719"
"27.977","20.605","20.647","20.649","20.678","20.700","20.609","20.553","20.644","20.611","20.697","20.728","20.669","20.729","20.748","20.635","20.606","20.631","20.678","20.614","20.658","20.613","20.359","20.639","20.732","20.764"
"28.232","20.776","20.883","20.821","20.910","20.920","20.829","20.794","20.903","20.872","20.943","20.963","20.881","20.966","20.992","20.885","20.860","20.864","20.904","20.861","20.925","20.853","20.606","20.902","20.984","21.008"
