,12/5/2020 12:30:17 PM,12/5/2020 12:33:17 PM,12/5/2020 12:36:17 PM,12/5/2020 12:39:17 PM,12/5/2020 12:42:18 PM,12/5/2020 12:45:18 PM,12/5/2020 12:48:18 PM,12/5/2020 12:51:18 PM,12/5/2020 12:54:18 PM,12/5/2020 12:57:19 PM,12/5/2020 1:00:19 PM,12/5/2020 1:03:19 PM,12/5/2020 1:06:19 PM,12/5/2020 1:09:19 PM,12/5/2020 1:12:20 PM,12/5/2020 1:15:20 PM,12/5/2020 1:18:20 PM,12/5/2020 1:21:20 PM,12/5/2020 1:24:20 PM,12/5/2020 1:27:20 PM,12/5/2020 1:30:21 PM,12/5/2020 1:33:21 PM,12/5/2020 1:36:21 PM,12/5/2020 1:39:21 PM,12/5/2020 1:42:22 PM
"57.719","19.214","19.213","19.171","19.114","19.038","19.079","19.033","19.176","19.114","19.061","19.003","18.886","18.965","19.101","18.928","18.881","18.931","19.057","19.044","19.165","19.032","18.817","19.011","19.105","19.021"
"57.973","19.236","19.289","19.236","19.167","19.090","19.117","19.092","19.244","19.175","19.142","19.054","18.952","19.068","19.139","18.988","18.946","18.976","19.135","19.114","19.205","19.139","18.887","19.071","19.209","19.087"
"58.227","19.208","19.256","19.201","19.140","19.071","19.086","19.047","19.182","19.103","19.137","19.060","18.943","19.070","19.101","18.961","18.942","18.933","19.103","19.111","19.143","19.133","18.872","19.056","19.198","19.117"
"58.481","19.243","19.227","19.214","19.150","19.063","19.093","19.015","19.160","19.067","19.124","19.039","18.922","19.039","19.085","18.934","18.906","18.930","19.065","19.117","19.105","19.085","18.847","19.009","19.104","19.129"
"58.735","19.234","19.216","19.200","19.121","19.052","19.112","19.016","19.181","19.079","19.126","19.020","18.938","19.044","19.080","18.946","18.882","18.966","19.081","19.138","19.141","19.048","18.845","19.000","19.055","19.188"
"58.990","19.176","19.210","19.156","19.083","18.994","19.068","18.999","19.154","19.062","19.073","18.987","18.939","19.053","19.015","18.933","18.865","18.960","19.070","19.098","19.152","18.986","18.829","19.001","19.034","19.170"
"59.244","19.205","19.223","19.175","19.107","18.984","19.085","19.030","19.195","19.092","19.067","18.966","18.903","19.032","18.994","18.950","18.870","18.974","19.073","19.080","19.161","18.989","18.812","18.992","19.040","19.111"
"59.498","19.209","19.205","19.171","19.131","19.015","19.116","19.043","19.214","19.125","19.071","18.980","18.916","19.004","19.026","18.972","18.852","19.004","19.095","19.113","19.192","19.055","18.830","18.988","19.085","19.063"
"59.752","19.175","19.166","19.108","19.073","19.005","19.068","18.980","19.124","19.085","19.025","18.977","18.962","18.971","19.010","18.944","18.833","18.980","19.073","19.109","19.183","19.061","18.813","18.990","19.084","19.041"
"60.006","19.196","19.215","19.103","19.046","19.008","19.079","18.975","19.131","19.070","19.048","19.031","18.997","18.974","19.019","18.962","18.867","18.984","19.072","19.142","19.187","19.040","18.817","19.030","19.112","19.108"
"60.261","19.226","19.281","19.140","19.108","19.067","19.118","19.014","19.184","19.112","19.128","19.110","19.028","19.040","19.055","19.008","18.922","19.027","19.139","19.217","19.241","19.058","18.880","19.095","19.172","19.200"
"60.515","19.267","19.315","19.182","19.143","19.149","19.130","19.056","19.199","19.153","19.152","19.126","19.041","19.119","19.087","19.001","18.929","19.059","19.184","19.253","19.241","19.069","18.948","19.087","19.168","19.184"
"60.769","19.341","19.373","19.275","19.218","19.224","19.215","19.167","19.297","19.255","19.233","19.176","19.071","19.183","19.169","19.059","19.008","19.104","19.223","19.304","19.279","19.132","19.012","19.146","19.208","19.143"
"61.023","19.325","19.391","19.305","19.272","19.233","19.253","19.227","19.369","19.302","19.317","19.243","19.100","19.188","19.195","19.160","19.089","19.131","19.268","19.339","19.352","19.199","19.049","19.230","19.280","19.244"
"61.277","19.232","19.352","19.221","19.232","19.167","19.200","19.191","19.283","19.199","19.246","19.173","19.065","19.108","19.106","19.136","19.045","19.103","19.206","19.279","19.313","19.170","19.003","19.201","19.266","19.317"
"61.532","19.223","19.350","19.170","19.194","19.108","19.156","19.126","19.200","19.092","19.131","19.080","18.963","19.038","19.052","18.997","18.954","19.032","19.109","19.197","19.199","19.060","18.878","19.107","19.191","19.251"
"61.786","19.252","19.346","19.221","19.207","19.107","19.154","19.114","19.255","19.112","19.142","19.045","18.959","19.050","19.102","18.971","18.936","19.036","19.110","19.229","19.177","19.051","18.876","19.095","19.173","19.305"
"62.040","19.217","19.253","19.210","19.162","19.114","19.093","19.073","19.237","19.103","19.142","19.002","18.971","19.075","19.090","18.981","18.930","19.026","19.130","19.239","19.199","19.066","18.902","19.095","19.158","19.285"
"62.294","19.217","19.217","19.208","19.132","19.099","19.056","19.044","19.202","19.110","19.140","19.002","18.952","19.054","19.034","18.954","18.894","18.960","19.108","19.167","19.220","19.021","18.854","19.064","19.101","19.102"
"62.548","19.235","19.271","19.258","19.153","19.095","19.094","19.091","19.247","19.179","19.174","19.046","18.951","19.049","19.061","19.016","18.920","18.947","19.135","19.183","19.270","19.007","18.857","19.079","19.108","19.094"
"62.803","19.187","19.283","19.236","19.101","19.066","19.112","19.098","19.228","19.177","19.143","19.050","18.952","19.026","19.095","19.047","18.959","18.985","19.136","19.182","19.268","19.030","18.902","19.108","19.132","19.219"
"63.057","19.184","19.273","19.175","19.055","19.052","19.080","19.075","19.185","19.149","19.122","19.036","18.954","18.990","19.062","19.008","18.948","19.030","19.119","19.160","19.210","19.025","18.879","19.079","19.110","19.195"
"63.311","19.265","19.324","19.223","19.153","19.129","19.155","19.150","19.280","19.211","19.195","19.098","19.026","19.058","19.121","19.012","18.967","19.112","19.206","19.266","19.290","19.050","18.919","19.111","19.155","19.129"
"63.565","19.267","19.337","19.270","19.201","19.189","19.200","19.201","19.325","19.250","19.254","19.186","19.080","19.150","19.195","19.053","18.991","19.171","19.297","19.348","19.398","19.126","19.031","19.228","19.246","19.233"
"63.819","19.237","19.318","19.230","19.144","19.161","19.146","19.108","19.231","19.199","19.223","19.143","19.054","19.131","19.161","19.057","18.967","19.143","19.236","19.298","19.349","19.135","19.024","19.207","19.228","19.299"
"64.074","19.294","19.350","19.251","19.197","19.158","19.151","19.101","19.218","19.207","19.230","19.097","19.034","19.100","19.160","19.065","18.986","19.090","19.193","19.306","19.267","19.134","18.974","19.127","19.222","19.252"
"64.328","19.370","19.345","19.325","19.272","19.193","19.201","19.155","19.295","19.269","19.276","19.102","19.059","19.129","19.198","19.110","19.026","19.103","19.225","19.342","19.281","19.132","18.981","19.121","19.265","19.167"
"64.582","19.402","19.292","19.345","19.262","19.204","19.201","19.126","19.339","19.278","19.280","19.095","19.041","19.111","19.167","19.118","19.016","19.123","19.204","19.290","19.285","19.093","18.957","19.119","19.220","19.119"
"64.836","19.408","19.265","19.375","19.245","19.206","19.227","19.120","19.345","19.251","19.268","19.109","19.038","19.095","19.142","19.119","18.990","19.121","19.171","19.274","19.258","19.101","18.924","19.132","19.164","19.162"
"65.090","19.361","19.281","19.366","19.245","19.204","19.270","19.127","19.296","19.211","19.244","19.123","19.034","19.128","19.169","19.118","19.005","19.100","19.206","19.297","19.245","19.134","18.927","19.152","19.210","19.192"
"65.345","19.343","19.327","19.342","19.230","19.195","19.245","19.131","19.274","19.216","19.261","19.092","19.012","19.140","19.187","19.082","19.023","19.091","19.211","19.313","19.252","19.142","18.947","19.151","19.279","19.204"
"65.599","19.369","19.365","19.382","19.258","19.233","19.259","19.212","19.332","19.294","19.344","19.104","19.038","19.143","19.243","19.086","19.065","19.142","19.260","19.362","19.339","19.175","19.001","19.227","19.317","19.254"
"65.853","19.357","19.335","19.384","19.242","19.239","19.268","19.222","19.312","19.293","19.346","19.130","19.076","19.138","19.253","19.113","19.066","19.160","19.299","19.375","19.417","19.204","19.048","19.297","19.311","19.258"
"66.107","19.314","19.302","19.333","19.192","19.194","19.224","19.145","19.233","19.229","19.269","19.122","19.049","19.110","19.180","19.099","19.017","19.122","19.245","19.299","19.396","19.171","19.007","19.260","19.234","19.209"
"66.361","19.343","19.335","19.337","19.230","19.173","19.230","19.159","19.256","19.249","19.266","19.145","19.039","19.130","19.145","19.107","19.031","19.126","19.222","19.302","19.352","19.123","18.991","19.217","19.183","19.197"
"66.616","19.384","19.344","19.342","19.278","19.143","19.214","19.163","19.256","19.248","19.273","19.152","19.050","19.120","19.154","19.110","19.061","19.142","19.229","19.284","19.335","19.094","18.990","19.214","19.199","19.205"
"66.870","19.368","19.322","19.321","19.259","19.123","19.198","19.124","19.240","19.200","19.252","19.132","19.056","19.074","19.160","19.102","19.049","19.112","19.222","19.257","19.327","19.117","18.960","19.203","19.207","19.194"
"67.124","19.368","19.350","19.352","19.287","19.182","19.260","19.171","19.286","19.229","19.277","19.136","19.062","19.109","19.166","19.105","19.078","19.115","19.245","19.314","19.357","19.194","18.966","19.196","19.238","19.261"
"67.378","19.369","19.382","19.386","19.306","19.230","19.287","19.226","19.299","19.274","19.270","19.138","19.059","19.150","19.158","19.126","19.110","19.143","19.285","19.348","19.369","19.194","18.973","19.230","19.265","19.332"
"67.632","19.352","19.378","19.361","19.265","19.223","19.255","19.213","19.296","19.278","19.236","19.132","19.068","19.131","19.149","19.086","19.087","19.126","19.269","19.289","19.344","19.131","19.003","19.233","19.224","19.296"
"67.887","19.386","19.397","19.383","19.304","19.262","19.266","19.237","19.333","19.328","19.279","19.189","19.119","19.164","19.256","19.094","19.098","19.144","19.303","19.328","19.395","19.150","19.063","19.255","19.258","19.353"
"68.141","19.464","19.440","19.467","19.373","19.359","19.334","19.288","19.421","19.401","19.371","19.273","19.175","19.253","19.357","19.209","19.205","19.227","19.374","19.417","19.471","19.245","19.138","19.350","19.302","19.459"
"68.395","19.492","19.452","19.488","19.371","19.350","19.353","19.287","19.439","19.389","19.404","19.272","19.143","19.284","19.326","19.237","19.236","19.248","19.364","19.427","19.431","19.243","19.146","19.352","19.283","19.399"
"68.649","19.499","19.480","19.483","19.386","19.326","19.368","19.314","19.430","19.383","19.415","19.232","19.105","19.296","19.302","19.207","19.193","19.233","19.348","19.404","19.417","19.205","19.133","19.323","19.291","19.250"
"68.903","19.446","19.443","19.440","19.349","19.274","19.315","19.254","19.366","19.333","19.348","19.152","19.052","19.234","19.272","19.154","19.103","19.193","19.285","19.368","19.365","19.163","19.064","19.264","19.244","19.191"
"69.158","19.371","19.365","19.343","19.238","19.195","19.220","19.094","19.243","19.204","19.198","19.047","18.958","19.121","19.167","19.080","18.962","19.088","19.156","19.297","19.247","19.070","18.942","19.150","19.119","19.200"
"69.412","19.322","19.279","19.198","19.087","19.104","19.118","18.948","19.122","19.075","19.047","18.915","18.846","19.019","19.007","18.947","18.880","18.968","18.978","19.143","19.081","18.934","18.804","19.017","19.014","19.092"
"69.666","19.198","19.067","18.973","18.891","18.912","18.898","18.712","18.859","18.838","18.795","18.614","18.683","18.802","18.744","18.703","18.722","18.786","18.677","18.805","18.742","18.683","18.582","18.782","18.781","18.790"
"69.920","18.923","18.726","18.639","18.525","18.495","18.463","18.202","18.255","18.366","18.310","18.125","18.335","18.298","18.259","18.265","18.327","18.362","18.146","18.210","18.231","18.280","18.175","18.395","18.321","18.368"
"70.174","18.590","18.374","18.256","18.076","18.021","17.971","17.611","17.639","17.869","17.782","17.652","17.950","17.807","17.766","17.817","17.858","17.853","17.566","17.697","17.775","17.847","17.745","18.020","17.847","17.933"
"70.429","18.310","18.197","18.055","17.900","17.847","17.766","17.504","17.522","17.711","17.628","17.568","17.812","17.724","17.663","17.726","17.713","17.727","17.441","17.608","17.709","17.720","17.600","17.912","17.719","17.746"
"70.683","18.228","18.235","18.128","18.055","17.982","17.898","17.792","17.777","17.873","17.856","17.836","17.940","17.958","17.880","17.941","17.906","17.935","17.738","17.846","17.953","17.910","17.766","18.065","17.951","17.909"
"70.937","18.253","18.268","18.215","18.194","18.094","18.057","17.960","17.991","18.014","18.057","18.045","18.054","18.114","18.021","18.061","18.063","18.091","17.993","18.049","18.159","18.062","17.932","18.169","18.130","18.099"
"71.191","18.124","18.081","18.058","17.993","17.950","17.901","17.820","17.850","17.846","17.893","17.906","17.932","17.945","17.873","17.839","17.834","17.927","17.909","17.931","17.990","17.894","17.744","17.991","17.978","17.961"
"71.445","17.848","17.809","17.768","17.625","17.645","17.562","17.515","17.533","17.536","17.542","17.551","17.638","17.598","17.566","17.508","17.453","17.558","17.584","17.620","17.629","17.553","17.374","17.682","17.648","17.606"
"71.700","17.670","17.710","17.607","17.466","17.475","17.446","17.331","17.406","17.384","17.377","17.375","17.469","17.450","17.402","17.359","17.323","17.386","17.392","17.480","17.463","17.410","17.262","17.535","17.489","17.432"
"71.954","17.756","17.836","17.701","17.624","17.610","17.621","17.501","17.534","17.481","17.541","17.505","17.580","17.595","17.534","17.479","17.519","17.556","17.538","17.627","17.601","17.575","17.432","17.647","17.609","17.631"
"72.208","18.013","18.051","17.959","17.915","17.929","17.918","17.836","17.803","17.752","17.835","17.782","17.827","17.840","17.829","17.760","17.841","17.835","17.828","17.899","17.891","17.867","17.696","17.894","17.861","17.974"
"72.462","18.225","18.205","18.172","18.139","18.163","18.134","18.043","18.016","18.003","18.024","17.986","18.021","18.033","18.038","17.990","18.063","18.031","18.002","18.110","18.065","18.050","17.875","18.058","18.068","18.182"
"72.716","18.230","18.224","18.206","18.152","18.153","18.144","18.018","18.024","18.035","18.075","18.032","18.069","18.067","18.033","18.030","18.074","18.074","18.036","18.130","18.053","18.060","17.908","18.065","18.129","18.226"
"72.971","18.048","18.060","18.012","17.933","17.897","17.870","17.804","17.791","17.828","17.905","17.820","17.881","17.853","17.812","17.814","17.829","17.859","17.839","17.908","17.849","17.842","17.733","17.914","17.957","17.995"
"73.225","17.859","17.881","17.786","17.604","17.614","17.542","17.478","17.438","17.520","17.550","17.459","17.618","17.503","17.518","17.492","17.467","17.527","17.476","17.581","17.536","17.514","17.417","17.685","17.632","17.624"
"73.479","17.874","17.889","17.774","17.532","17.579","17.503","17.363","17.325","17.435","17.431","17.362","17.560","17.427","17.478","17.444","17.375","17.446","17.354","17.481","17.463","17.457","17.318","17.619","17.494","17.502"
"73.733","18.077","18.075","17.976","17.805","17.806","17.762","17.616","17.607","17.678","17.688","17.617","17.776","17.691","17.754","17.717","17.651","17.730","17.607","17.725","17.722","17.716","17.576","17.806","17.692","17.714"
"73.987","18.298","18.304","18.196","18.143","18.071","18.090","17.960","17.973","17.993","18.029","17.963","18.064","18.025","18.058","18.018","18.012","18.096","17.989","18.058","18.052","18.005","17.901","18.075","18.034","18.027"
"74.242","18.389","18.416","18.297","18.267","18.216","18.263","18.115","18.117","18.121","18.184","18.140","18.193","18.207","18.162","18.127","18.180","18.257","18.194","18.215","18.253","18.163","18.041","18.241","18.224","18.179"
"74.496","18.286","18.318","18.180","18.143","18.122","18.146","17.987","18.014","18.008","18.068","18.046","18.097","18.122","18.061","18.022","18.060","18.125","18.083","18.120","18.179","18.104","17.934","18.195","18.143","18.080"
"74.750","18.066","18.095","17.961","17.862","17.857","17.829","17.669","17.758","17.778","17.811","17.755","17.895","17.839","17.802","17.767","17.798","17.814","17.810","17.860","17.898","17.825","17.660","18.003","17.907","17.813"
"75.004","17.921","17.947","17.814","17.671","17.699","17.634","17.455","17.525","17.604","17.632","17.533","17.748","17.644","17.588","17.580","17.610","17.580","17.613","17.635","17.723","17.613","17.492","17.825","17.714","17.570"
"75.258","18.015","18.002","17.898","17.733","17.774","17.714","17.538","17.567","17.650","17.678","17.580","17.792","17.709","17.683","17.654","17.663","17.642","17.654","17.650","17.758","17.674","17.597","17.840","17.738","17.680"
"75.513","18.225","18.228","18.134","17.965","17.988","17.954","17.828","17.847","17.879","17.874","17.834","17.998","17.943","17.973","17.891","17.928","17.900","17.857","17.884","17.938","17.913","17.839","18.039","17.937","18.029"
"75.767","18.384","18.432","18.297","18.130","18.159","18.086","18.037","18.053","18.033","18.032","18.033","18.152","18.098","18.125","18.050","18.131","18.094","18.058","18.066","18.146","18.086","18.016","18.195","18.131","18.223"
"76.021","18.405","18.436","18.262","18.117","18.142","18.033","18.017","18.057","18.028","18.028","18.014","18.102","18.054","18.074","18.011","18.068","18.075","18.062","18.093","18.147","18.044","17.961","18.194","18.147","18.206"
"76.275","18.259","18.210","18.062","17.898","17.927","17.817","17.774","17.810","17.818","17.828","17.762","17.917","17.802","17.806","17.773","17.761","17.796","17.789","17.923","17.886","17.815","17.684","18.035","17.957","18.015"
"76.529","18.049","18.009","17.909","17.684","17.719","17.645","17.505","17.525","17.602","17.609","17.534","17.768","17.584","17.589","17.587","17.532","17.568","17.554","17.691","17.637","17.634","17.484","17.836","17.722","17.781"
"76.784","17.998","18.017","17.919","17.704","17.749","17.663","17.472","17.517","17.608","17.627","17.586","17.797","17.635","17.649","17.634","17.589","17.635","17.573","17.648","17.649","17.686","17.562","17.801","17.688","17.706"
"77.038","18.133","18.163","18.046","17.917","17.951","17.832","17.686","17.746","17.794","17.831","17.789","17.970","17.849","17.857","17.817","17.819","17.863","17.764","17.799","17.870","17.852","17.787","17.962","17.856","17.878"
"77.292","18.298","18.333","18.190","18.108","18.109","18.040","17.905","17.958","17.945","18.013","17.999","18.123","18.031","18.020","17.983","18.012","18.056","17.983","18.010","18.074","17.999","17.964","18.138","18.088","18.074"
"77.546","18.315","18.385","18.226","18.168","18.118","18.110","17.971","18.037","17.981","18.089","18.054","18.148","18.084","18.065","18.070","18.076","18.086","18.075","18.109","18.129","18.077","18.029","18.179","18.184","18.115"
"77.800","18.151","18.244","18.081","18.041","17.962","17.971","17.816","17.879","17.847","17.954","17.908","18.017","18.000","17.929","17.976","17.947","17.937","17.930","18.024","17.988","17.981","17.906","18.035","18.062","18.024"
"78.055","18.006","18.113","17.919","17.880","17.823","17.831","17.619","17.621","17.729","17.757","17.725","17.878","17.850","17.757","17.799","17.747","17.795","17.716","17.871","17.793","17.827","17.739","17.900","17.868","17.837"
"78.309","18.041","18.172","17.977","17.920","17.905","17.909","17.685","17.655","17.774","17.806","17.772","17.914","17.869","17.825","17.788","17.754","17.846","17.745","17.900","17.860","17.869","17.782","17.940","17.863","17.842"
"78.563","18.186","18.317","18.161","18.070","18.090","18.038","17.864","17.877","17.905","17.984","17.932","18.053","18.000","17.978","17.924","17.922","17.989","17.941","18.046","18.054","18.021","17.912","18.089","18.006","18.030"
"78.817","18.259","18.341","18.203","18.079","18.109","18.031","17.877","17.934","17.997","18.024","17.962","18.100","18.018","17.985","17.965","17.946","18.019","17.984","18.056","18.072","18.038","17.933","18.150","18.082","18.057"
"79.071","18.190","18.181","18.016","17.861","17.893","17.815","17.590","17.651","17.863","17.785","17.723","17.959","17.770","17.779","17.787","17.730","17.795","17.697","17.800","17.847","17.835","17.731","18.034","17.906","17.794"
"79.326","18.143","18.053","17.862","17.677","17.691","17.612","17.265","17.304","17.623","17.519","17.466","17.817","17.511","17.560","17.604","17.528","17.571","17.377","17.510","17.575","17.617","17.526","17.864","17.660","17.570"
"79.580","18.237","18.147","17.989","17.825","17.830","17.776","17.436","17.448","17.699","17.693","17.655","17.973","17.664","17.696","17.721","17.736","17.748","17.566","17.665","17.692","17.733","17.658","17.944","17.783","17.681"
"79.834","18.357","18.349","18.175","18.103","18.114","18.058","17.888","17.861","17.984","18.054","18.035","18.227","18.022","17.991","17.993","18.053","18.034","17.967","18.051","18.045","18.048","17.959","18.130","18.119","17.908"
"80.088","18.326","18.377","18.168","18.154","18.170","18.115","18.043","18.010","18.085","18.123","18.104","18.246","18.094","18.091","18.084","18.073","18.082","18.112","18.162","18.138","18.164","18.053","18.170","18.196","17.971"
"80.342","18.148","18.214","18.005","17.967","17.999","17.907","17.811","17.780","17.900","17.937","17.819","18.019","17.879","17.910","17.887","17.835","17.859","17.938","17.956","17.933","17.973","17.861","17.999","17.978","17.914"
"80.597","18.055","18.060","17.888","17.776","17.822","17.690","17.462","17.480","17.671","17.714","17.547","17.784","17.637","17.667","17.671","17.601","17.642","17.628","17.687","17.680","17.706","17.612","17.796","17.750","17.752"
"80.851","18.074","18.078","17.899","17.723","17.729","17.604","17.310","17.351","17.588","17.597","17.498","17.738","17.519","17.561","17.614","17.541","17.592","17.443","17.584","17.598","17.571","17.524","17.777","17.667","17.609"
"81.105","18.081","18.072","17.856","17.652","17.662","17.521","17.201","17.204","17.528","17.454","17.414","17.726","17.420","17.481","17.548","17.512","17.534","17.291","17.486","17.517","17.520","17.495","17.756","17.557","17.540"
"81.359","18.123","18.062","17.837","17.686","17.714","17.560","17.221","17.214","17.592","17.420","17.382","17.769","17.476","17.516","17.563","17.521","17.550","17.272","17.485","17.490","17.589","17.531","17.768","17.545","17.597"
"81.613","18.182","18.152","17.968","17.929","17.910","17.833","17.595","17.603","17.852","17.707","17.668","17.923","17.763","17.809","17.801","17.753","17.797","17.632","17.777","17.736","17.864","17.762","17.935","17.800","17.928"
"81.868","18.229","18.267","18.119","18.158","18.100","18.105","17.968","17.972","18.084","18.030","18.028","18.109","18.057","18.127","18.069","18.024","18.092","18.038","18.097","18.090","18.133","18.031","18.165","18.077","18.230"
"82.122","18.308","18.365","18.226","18.305","18.220","18.272","18.126","18.114","18.221","18.202","18.220","18.241","18.253","18.254","18.183","18.165","18.247","18.258","18.282","18.299","18.285","18.216","18.289","18.243","18.313"
"82.376","18.431","18.413","18.305","18.341","18.227","18.273","18.098","18.092","18.251","18.159","18.218","18.318","18.278","18.211","18.155","18.145","18.232","18.240","18.259","18.259","18.284","18.243","18.317","18.292","18.271"
"82.630","18.615","18.510","18.351","18.318","18.173","18.208","17.963","17.982","18.196","18.017","18.093","18.364","18.181","18.089","18.105","18.064","18.120","18.094","18.066","18.101","18.227","18.136","18.265","18.230","18.168"
"82.884","18.851","18.750","18.534","18.459","18.352","18.375","18.125","18.186","18.339","18.160","18.208","18.495","18.328","18.237","18.269","18.201","18.207","18.169","18.138","18.201","18.373","18.235","18.376","18.314","18.255"
"83.139","19.106","19.052","18.873","18.830","18.757","18.749","18.608","18.729","18.707","18.632","18.584","18.750","18.751","18.687","18.668","18.582","18.583","18.609","18.586","18.601","18.717","18.607","18.685","18.648","18.659"
"83.393","19.372","19.262","19.201","19.184","19.053","19.090","19.004","19.172","19.047","19.043","18.935","19.008","19.127","19.086","19.026","18.926","18.948","19.024","18.994","18.993","19.027","18.961","18.978","18.954","19.040"
"83.647","19.548","19.356","19.383","19.357","19.208","19.294","19.162","19.381","19.245","19.216","19.125","19.174","19.274","19.246","19.180","19.116","19.127","19.209","19.210","19.211","19.197","19.141","19.170","19.114","19.203"
"83.901","19.550","19.356","19.407","19.387","19.302","19.333","19.167","19.417","19.279","19.259","19.187","19.220","19.291","19.277","19.220","19.144","19.176","19.236","19.295","19.275","19.244","19.224","19.224","19.188","19.251"
"84.155","19.474","19.327","19.337","19.365","19.313","19.269","19.163","19.341","19.256","19.280","19.219","19.239","19.277","19.279","19.266","19.139","19.197","19.245","19.290","19.285","19.250","19.263","19.195","19.234","19.259"
"84.410","19.562","19.473","19.451","19.497","19.438","19.413","19.371","19.420","19.441","19.462","19.422","19.420","19.417","19.417","19.451","19.330","19.370","19.397","19.399","19.402","19.417","19.402","19.356","19.422","19.316"
"84.664","19.889","19.809","19.781","19.832","19.823","19.851","19.796","19.811","19.866","19.845","19.818","19.821","19.739","19.802","19.796","19.785","19.750","19.800","19.692","19.722","19.790","19.788","19.803","19.769","19.698"
"84.918","19.773","19.743","19.722","19.755","19.797","19.847","19.817","19.823","19.826","19.804","19.798","19.809","19.696","19.803","19.796","19.831","19.758","19.824","19.645","19.703","19.808","19.815","19.848","19.736","19.778"
"85.172","19.263","19.311","19.315","19.303","19.357","19.376","19.418","19.344","19.347","19.388","19.378","19.319","19.318","19.319","19.417","19.423","19.348","19.398","19.276","19.353","19.390","19.391","19.388","19.293","19.340"
"85.426","18.692","18.828","18.793","18.760","18.854","18.804","18.882","18.760","18.774","18.857","18.847","18.731","18.869","18.774","18.876","18.867","18.799","18.843","18.859","18.874","18.825","18.867","18.800","18.788","18.770"
"85.681","18.416","18.592","18.514","18.524","18.603","18.546","18.587","18.491","18.512","18.549","18.559","18.457","18.602","18.534","18.546","18.551","18.548","18.518","18.628","18.567","18.540","18.586","18.539","18.576","18.477"
"85.935","18.440","18.557","18.518","18.552","18.584","18.533","18.530","18.508","18.514","18.534","18.524","18.458","18.578","18.562","18.486","18.520","18.588","18.470","18.580","18.561","18.531","18.522","18.519","18.596","18.521"
"86.189","18.771","18.786","18.821","18.812","18.822","18.773","18.826","18.759","18.802","18.765","18.798","18.815","18.785","18.853","18.759","18.829","18.918","18.764","18.812","18.840","18.780","18.779","18.764","18.834","18.826"
"86.443","18.956","18.964","19.006","18.960","18.984","18.915","19.059","18.917","19.006","18.898","19.013","19.131","18.953","19.033","19.008","19.121","19.122","19.014","19.041","19.027","19.002","18.980","19.001","19.030","19.076"
"86.697","18.791","18.844","18.850","18.829","18.838","18.806","18.911","18.798","18.906","18.830","18.925","19.034","18.896","18.889","18.915","19.018","18.964","18.947","18.946","18.865","18.921","18.848","18.931","18.926","19.014"
"86.952","18.506","18.551","18.538","18.531","18.541","18.571","18.571","18.545","18.602","18.653","18.629","18.665","18.640","18.567","18.587","18.663","18.656","18.666","18.652","18.570","18.604","18.594","18.646","18.692","18.700"
